Name,Year,Duration,Genre,Rating,Director,Actor 1,Actor 2,Actor 3
50 Lakh,2007.0,135.0,"Comedy, Thriller",6.5,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
500 Ka Note,2002.0,108.0,Thriller,5.841621416845562,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
5ters: Castle of Dark Master,2011.0,110.0,"Action, Adventure, Fantasy",4.6,G. Venugopal,Akash,Avinash,Gagan
6.40 PM,1967.0,142.0,Other,5.4,Mani Kaul,Unknown,Unknown,Unknown
6387 Meters Black Peak,2020.0,85.0,Documentary,5.841621416845562,Kovid Mittal,Kovid Mittal,Unknown,Unknown
64 Kaam Kalayen,2002.0,108.0,Thriller,5.841621416845562,Hemant Birje,Ankush Mohite,Kirti Rawal,Unknown
6-5=2,2014.0,104.0,Horror,4.2,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,2007.0,92.0,Drama,6.2,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
69 Opposites Attract,2011.0,96.0,Comedy,5.841621416845562,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,Unknown
69 Reality in Us,2019.0,135.0,"Drama, Romance, Thriller",5.841621416845562,Samir Khan,Unknown,Unknown,Unknown
7 1/2 Phere: More Than a Wedding,2005.0,136.0,"Comedy, Drama",5.3,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,1988.0,126.0,Action,5.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Days,1995.0,146.0,"Action, Drama",3.4,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
7 Hours to Go,2016.0,115.0,"Crime, Thriller",5.7,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006.0,100.0,Documentary,6.2,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Khoon Maaf,2011.0,137.0,"Drama, Mystery, Thriller",6.1,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,1987.0,127.0,"Drama, Horror, Musical",4.1,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019.0,120.0,Thriller,5.3,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019.0,130.0,"Action, Biography, Drama",5.3,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
777 Charlie,2019.0,136.0,"Adventure, Comedy, Drama",5.841621416845562,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
7th Villa,2018.0,125.0,Horror,5.841621416845562,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
8 PM: A Murder Mystery,2008.0,113.0,Mystery,5.841621416845562,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
8 x 10 Tasveer,2009.0,122.0,"Action, Fantasy, Mystery",5.4,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,2021.0,115.0,"Adventure, Drama, Mystery",6.6,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
'83,2021.0,150.0,"Biography, Drama, History",5.841621416845562,Kabir Khan,Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin
88 Antop Hill,2003.0,119.0,"Mystery, Thriller",4.7,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017.0,124.0,Action,5.3,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
9 Roads 2 Peace,2019.0,120.0,Adventure,5.841621416845562,Virendra Rathore,Unknown,Unknown,Unknown
9 to 12,2011.0,115.0,"Drama, Musical, Thriller",5.841621416845562,Ashok Patil,Nimisha Baby,Venkatesh Chakravarthy,Kishore Kumar G.
99,2009.0,135.0,"Comedy, Crime, Drama",7.3,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani
99 Songs,2019.0,128.0,"Musical, Romance",7.4,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha
99.9 FM,2005.0,90.0,"Crime, Drama",4.8,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Ballad of Maladies,2016.0,86.0,"Documentary, Music",5.841621416845562,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown
A Ballad of Maladies,2016.0,86.0,"Documentary, History, Music",5.841621416845562,Sarvnik Kaur,Tushar Madhav,Unknown,Unknown
A Billion Colour Story,2016.0,105.0,Drama,8.1,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Biopic from the Film Industry,2019.0,121.0,Drama,5.841621416845562,Sarkar Sahith,Suman Rana,Hari Vishnu,Unknown
A Call from the Past,2016.0,76.0,"Drama, Fantasy, Mystery",5.841621416845562,Ajay Jain,Vidhu Rashmi Jain,Ashok Banthia,Bharat Ratna Bhargava
A Cold Plan,2021.0,108.0,Thriller,5.841621416845562,Sanjay Raj,Ansh Chaturvedi,Jigyasa Tiwari,Anurag Bhardwaj
A Daughter's Dream,2014.0,120.0,"Drama, Family, Sport",5.841621416845562,Manto Pashupatinath,Bhavana Singh Chauhan,Akhilendra Mishra,Abhilash Narain
A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Death in the Gunj,2016.0,110.0,"Drama, Thriller",7.5,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah
A Dream Document,2016.0,70.0,Documentary,5.841621416845562,Rupak Das,Unknown,Unknown,Unknown
A Far Afternoon: a Painted Saga by Krishen Khanna,2015.0,72.0,"Documentary, Biography",7.7,Sruti Harihara Subramanian,Unknown,Unknown,Unknown
A Film by Aravind,2005.0,150.0,"Horror, Mystery",6.8,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,2010.0,103.0,"Drama, Horror, Romance",4.5,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Flying Jatt,2016.0,151.0,"Action, Adventure, Comedy",3.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones
A Game Called Relationship,2020.0,109.0,"Comedy, Romance",6.3,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gentleman,2017.0,145.0,"Action, Comedy",6.2,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez
A Gift of Love: Sifar,2019.0,95.0,"Drama, Romance",8.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Handful of Grain,1959.0,92.0,Drama,5.841621416845562,Mehboob Khan,Unknown,Unknown,Unknown
A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996.0,52.0,Documentary,6.4,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,Unknown
A Mistake (Ek Galti),2021.0,108.0,Thriller,5.841621416845562,Chand Mehta,Hrishitaa Bhatt,Gulshan Pandey,Jimmy Shergil
A New Love Ishtory,2013.0,140.0,Romance,6.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Night in Calcutta,1970.0,121.0,Drama,5.841621416845562,Amrit Mahendra,Master Bhagwan,Simi Garewal,Jagdev
A Rape Song,2019.0,75.0,"Crime, Drama",5.841621416845562,Jacob Paul,Uday Bhan Mourya,Anjali Ujawane,Unknown
A Rifle and a Bag,2020.0,89.0,Documentary,6.8,Cristina Hanes,Isabella Rinaldi,Arya Rothe,Unknown
A Scandall,2016.0,112.0,Thriller,3.1,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Separate Sky,2021.0,121.0,Drama,5.841621416845562,Raajhorshee De,Sayan Chakraborty,Sudiptaa Chakraborty,Ranita Das
A Sketch Killer: Who's Next,1997.0,108.0,Thriller,5.841621416845562,Vinod Alva,Kalyan Kumar,Raghuvaran,Unknown
A Small Family,1976.0,76.0,Documentary,5.841621416845562,Fali Bilimoria,Unknown,Unknown,Unknown
A Song for No One,2019.0,140.0,"Comedy, Drama, Music",5.841621416845562,Arturo Alanis Garza,Kavya Trehan,Victoria Kuhne,Unknown
A Story of a Call Girl,2000.0,108.0,Thriller,5.841621416845562,Teerat Singh,Pinky Chinoy,Ali Khan,Anjali Kolhapuri
A Strange Love Story,2011.0,121.0,Drama,3.8,Tarique Khan,Sahil Seth,Gunjan Bakshi,Snehal Dabi
A Sublime Love Story: Barsaat,2005.0,143.0,"Drama, Romance",3.8,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,2017.0,90.0,Documentary,6.9,Sarita Khurana,Smriti Mundhra,Sima Taparia,Unknown
A Thin Line,2019.0,104.0,Drama,7.9,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
A Thursday,2021.0,125.0,"Drama, Thriller",5.841621416845562,Behzad Khambata,Dimple Kapadia,Yami Gautam,Neha Dhupia
A Treasure in the Snow,2002.0,76.0,Documentary,6.9,Goutam Ghose,Unknown,Unknown,Unknown
A Twist of Date,2017.0,110.0,"Comedy, Horror, Mystery",5.841621416845562,Kashmera Shah,Kashmera Shah,Unknown,Unknown
